Id,ContractID,PersonID,ContractNumber,ContractTypeID,GroupID,DateStart,ContractHoursPerWeek,ParttimePercentage,DateEnd,Timestamp,odd_or_even,parttimepercent
2,21 1,21,1,Part,3945,01/15/2021 00:00:00,20.0,55.56,,11/17/2025 15:28:10,Even,56
3,22 1,22,1,Full,3945,01/01/2021 00:00:00,36.0,100.0,,11/01/2025 14:46:36,Even,100
4,23 1,23,1,Full,3945,01/04/2021 00:00:00,21.6,60.0,,11/04/2025 14:44:16,Odd,60
5,23 2,23,2,Part,3945,04/01/2024 00:00:00,14.4,40.0,,11/01/2025 14:46:36,Odd,40
6,25 1,25,1,Part,3945,01/10/2021 00:00:00,24.0,66.67,,11/01/2025 14:46:36,Even,67
7,26 1,26,1,Part,3945,01/20/2021 00:00:00,36.0,100.0,06/30/2026 00:00:00,11/01/2025 14:46:36,Even,100
8,26 2,26,2,Part,3945,01/01/2023 00:00:00,10.0,27.78,12/31/2024 00:00:00,11/01/2025 14:46:36,Even,28
9,27 1,27,1,Free,3945,01/02/2021 00:00:00,32.0,88.89,12/31/2029 00:00:00,11/01/2025 14:46:36,Even,89


